,Score,Comment,Comment_after_2,output
2939,7.4,"Lâu rồi không ghé Ngọc Thạch. Quán vẫn khó tìm như ngày nào :)) 
Nhưng mà chất lượng vẫn ngon và giá cả sinh viên. Mỗi tội bát đá hơi ít :'( thích nhất cốt dừa và caramen ở đây. Thạch rau câu ăn mát và thơm nhè nhẹ. Trân châu nhai thích lắm. 
Anh chủ và cả nhân viên đều nhiệt tình và thân thiện. 
Mình có gọi cả nem chua rán và lạp xưởng tươi ở quán ăn vặt nhưng không chụp. Nem và lạp xưởng rán đầy mỡ, tương ớt cay, được mấy miếng dưa góp ăn cùng cho bớt ngấy. Lần sau mình sẽ gọi gà thôi.",lâu rồi khôngghé ngọc thạch quán vẫn khó tìm như ngày nào nhưng mà chất lượng vẫn và giá cả viên mỗi tội bát đá hơi ít thích nhất cốt dừa và ở đây thạch câu ăn mát và thơm nhè nhẹ trân châu thích lắm chủ và cả nhân viên đều nhiệt tình và thân thiện mình có gọi cả rán và lạp xưởng tươi ở quán ăn vặt nhưng khôngchụp và lạp xưởng rán đầy mỡ tương ớt được mấy miếng dưa góp ăn cùng cho bớt ngấy lần mình sẽ gọi gà thôi,0
2940,7.0,"Ngọc Thạch Quán - Sữa Chua & Cẩmen ~~

🍓 Đúng thật là muốn ăn dc loại minh thích thì phải chiu khó đi sớm trc 4r thì may ra còn loại ngon chứ tầm 5h là hết loại mình thích rùi ấy 😂
Mấy lần đi hc về thèm ăn ngọc thạch nên lại ăn thi dc báo lại là hết loại này loại kia ;)) và chỉ còn cáu này cái kia khỏi chọn luôn 😂😂
🍓 Điểm cộng la giá cả khá rẻ 👍 hai ng ăn chán chê chắc tầm 40k thui ấy 😂 đấy là gọi nhiều chứ k bình thg cũng chỉ hết 26k :))",ngọc thạch quán sữa cẩmen đúng thật là muốn ăn được loại thích thì phải khó đi sớm trước thì còn loại chứ tầm là hết loại mình thích rùi ấy cười mấy lần đi hc về thèm ăn ngọc thạch nên lại ăn được báo lại là hết loại này loại và chỉ còn cáu này cái khỏi chọn luôn cười cười điểm cộng giá cả khá rẻ thích người ăn chán chê chắc tầm ấy cười đấy là gọi nhiều chứ khôngbình cũng chỉ hết,0
2941,9.2,"Từ cách order, nhân viên, menu đều rất tốt ☺️ 
Mình rất thích thạch và caramen ở đây, thạch luôn luôn là mềm mềm và thơm đúng vị, nước cốt chan cũng không bị ngọt quá. Nói chung quán tuyệt vời từ phục vụ đến đồ ăn!! 
Không đến 50k/2ng luôn 😂 xong với không gian quán rộng nên bạn có thể ngồi lại lâu một chút nếu vẫn muốn trò chuyện mà rất thoải mái.",từ cách nhân viên đều rất tốt cười mình rất thích thạch và ở đây thạch luôn luôn là mềm mềm và thơm đúng vị nước cốt cũng khôngbị ngọt quá nói quán tuyệt vời từ phục vụ đến đồ ăn khôngđến luôn cười với khôngquán rộng nên bạn có thể ngồi lại lâu một chút nếu vẫn muốn trò chuyện mà rất thoải mái,1
2942,9.2,"Quán này lúc nào cũng đông khách phải xếp hàng luôn. Giá cả hợp lý, thu tiền, order cũng khoa học nữa. Mình hay ăn caramen, khá hợp miệng. Trân trâu hơi cứng nhưng sạch sẽ đảm bảo. Thạch hơi nhạt, chắc do mình ăn ngọt, hoặc caramen ngọt làm giảm vị. Dù sao mình cũng sẽ tới nhiều nhiều nữa.",quán này lúc nào cũng đông khách phải xếp hàng luôn giá cả hợp lý tiền cũng học nữa mình ăn khá hợp miệng trân trâu hơi cứng nhưng sạch sẽ đảm bảo thạch hơi nhạt chắc mình ăn ngọt hoặc ngọt làm giảm vị dù mình cũng sẽ tới nhiều nhiều nữa,1
2943,8.4,"Chất lượng ở đây lúc nào cũng là number1 nên cứ chiều chiều lại thèm đành gọi deliverynow ship về.
Lần này gọi về 3 cốc với 3 vị khác nhau để ăn cho đã.
Sữa chua mít trân châu có giá 17k, thơm và ngọt nhẹ. Chỉ có điều hơi ít mít, ăn xíu đã hết rồi
1 cốc caramen trân châu thạch thì ngon miễn chê, caramen đậm đã và ăn cực ngậy, thêm chút hạt trân châu dai-giòn nên nhai càng đã miệng
1 cốc rau câu trà xanh thì tuy chỉ có 14k mà ăn miếng rau câu to đùng. Sướng hết cả miệng.
Nhất định còn là fan của quán lâu dài",chất lượng ở đây lúc nào cũng là nên cứ chiều chiều lại thèm đành gọi deliverynow hàng về lần này gọi về cốc với vị khác để ăn cho đã sữa mít trân châu có giá thơm và ngọt nhẹ chỉ có điều hơi ít mít ăn xíu đã hết rồi cốc trân châu thạch thì miễn chê đậm đã và ăn cực ngậy thêm chút hạt trân châu giòn nên càng đã miệng cốc câu trà thì chỉ có mà ăn miếng câu đùng sướng hết cả miệng nhất định còn là của quán lâu dài,1
2944,5.0,"Trời nắng nóng người mệt mệt, k biết ăn j là chỉ có ra đây thôi. Các loại thạch và caramen rất ngon, ngọt vừa phải k bị ngọt gắt. Cực kì nhiều loại để lựa chọn, sữa chua uống cũng ngon",trời nắng nóng người mệt mệt khôngbiết ăn gì là chỉ có đây thôi các loại thạch và rất ngọt vừa phải khôngbị ngọt gắt cực kì nhiều loại để lựa chọn sữa uống cũng ,0
2945,7.8,"_Vị trí: c5 tập thể Kim Liên, các bạn nếu k biết thì hỏi thăm dễ hơn. Quán đông học sinh nên cũng nhìn cái nhận ra ngay :)))
_Không gian: rộng rãi, ngồi cả trong nhà và ngoài sân.
_Đồ ăn: mấy loại của quán cái nào cũng ngon, dễ ăn, mỗi tội hơi ngọt, các bạn cho thêm nhiều đá là ngon ngay chứ cho ít đá thì chè ngọt lắm. Caramen thơm nhưng làm chè thêm ngọt nên mình thích ăn k caramen hơn. Chân châu hay rau câu của quán đều dai ngon cả, ưng lắm
_Giá cả: rẻ lắm, phù hợp sinh viên, toàn 13k, đắt nhất 20k thì phải",trí tập thể liên các bạn nếu khôngbiết thì hỏi thăm dễ hơn quán đông học nên cũng nhìn cái nhận rộng rãi ngồi cả nhà và ngoài sân ăn mấy loại của quán cái nào cũng dễ ăn mỗi tội hơi ngọt các bạn cho thêm nhiều đá là chứ cho ít đá thì chè ngọt lắm thơm nhưng làm chè thêm ngọt nên mình thích ăn khônghơn chân châu câu của quán đều cả ưng lắm cả rẻ lắm phù hợp viên toàn đắt nhất thì phải,1
2946,7.8,"Ngọc Thạch Quán là nơi bán thạch và caramen ngon nhất mình từng ăn :)
Thạch mềm vừa phải, ăn vào mướt mát lắm cơ :)) Caramen trông núc ních, cũng mềm và mướt, không hề bị đặc hay nặng mùi trứng quá, ăn phê lắm :)
Giá lại rẻ nữa :). Phải ăn 2 bát liền mới thỏa cơn thèm ý.",ngọc thạch quán là nơi bán thạch và nhất mình từng ăn thạch mềm vừa phải ăn vào mướt mát lắm cơ trông núc ních cũng mềm và mướt khônghề bị đặc nặng mùi trứng quá ăn phê lắm giá lại rẻ nữa phải ăn bát liền mới thỏa cơn thèm ý,1
2948,10.0,"Được hôm không mang cơm theo nên lọ mọ tìm trên foody thì thấy cửa hàng này
Đóng gói cẩn thận, sạch sẽ
Đồ đầy đặn đẹp như trên hình mẫu ))
Mình gọi phở cuốn vì thấy nhiều review khen món này
Cảm nhận là tươi ngon phở cuốn rất chắc tay, nước chấm đi kèm rất thơm ngon nữa
Chắc chắn sẽ đặt lại",được hôm khôngcơm nên lọ mọ tìm trên thì thấy cửa hàng này đóng gói cẩn thận sạch sẽ đồ đầy đặn đẹp như trên hình mẫu mình gọi phở cuốn vì thấy nhiều review món này cảm nhận là tươi phở cuốn rất chắc nước chấm đi kèm rất thơm nữa chắc chắn sẽ đặt lại,1
2949,10.0,"Trước đây có con bạn nó mua cho hộp phở cuốn, ăn xong mà nghiền luôn mới sợ.
Con trai mà thèm ăn phở cuốn thì có gì kỳ cục k nhở :D
Nay đẹp trời gọi thử xem như nào...
Nước chấm ngon quý dzị ạ, rất dễ ăn và bắt miệng",trước đây có bạn nó cho hộp phở cuốn ăn mà nghiền luôn mới sợ mà thèm ăn phở cuốn thì có gì kỳ cục khôngnhở đẹp trời gọi thử như nào nước chấm quý dzị ạ rất dễ ăn và bắt miệng,1
2950,10.0,"Bún trộn có nước sốt thơm và chất lượng ăn không bị ngấy. Thịt thì ngập tràn, chất lượng
tối muộn lũ bão shipper không giao hàng được nên chủ quán tự xách xe đi giao thấy nhiệt tình ghê. Nói chung là chuẩn ngon không cần chỉnh!!!",bún trộn có nước sốt thơm và chất lượng ăn khôngbị ngấy thịt thì ngập tràn chất lượng tối muộn lũ bão shipper khônghàng được nên chủ quán tự xách đi thấy nhiệt tình ghê nói là chuẩn khôngcần chỉnh ,1
2951,10.0,"Mình gọi món bún trộn nam bộ vì nghe cũng lạ lạ, mà ăn khá ngon miệng nha, nước sốt rất quyện, thịt ngọt và dai chứ ko bị bở. 
Món ăn ở đây vị thanh, ăn cảm giác nhẹ nhàng, thấy quán bảo là không dùng bột ngọt nên ai bị dị ứng bột ngọt thì yên tâm rồi.",mình gọi món bún trộn nam bộ vì cũng lạ lạ mà ăn khá miệng nước sốt rất quyện thịt ngọt và chứ khôngbị bở món ăn ở đây vị ăn cảm giác nhẹ nhàng thấy quán bảo là khôngdùng bột ngọt nên bị dị ứng bột ngọt thì yên tâm rồi,1
2952,10.0,"Các món bún của quán thường là món khô, có mã giảm giá delivery nên mình thấy giá khá rẻ, mình đặt hết tất cả các loại bún của quán mà thấy món nào cũng ngon, rau tươi xanh",các món bún của quán thường là món khô có mã giảm giá delivery nên mình thấy giá khá rẻ mình đặt hết tất cả các loại bún của quán mà thấy món nào cũng tươi ,1
2953,10.0,"Quán chuyên bán món ăn khô, đồ đóng gói đẹp mắt. Hôm trước đến quán thấy rất sạch sẽ, chủ quán rất nhiệt tình dễ thương",quán chuyên bán món ăn khô đồ đóng gói đẹp mắt hôm trước đến quán thấy rất sạch sẽ chủ quán rất nhiệt tình dễ thương,1
2954,10.0,"Mình là người thích ăn món ăn trộn, quán là địa điểm đầu tiên khi muốn order món gì đó, đồ ăn của quán rất ngon, và nhiều. Đóng gói đẹp mắt lại sạch sẽ rất ưng",mình là người thích ăn món ăn trộn quán là địa điểm đầu tiên muốn món gì đó đồ ăn của quán rất và nhiều đóng gói đẹp mắt lại sạch sẽ rất ưng,1
2955,10.0,"Đồ ăn ngon, đóng gói đẹp, nhiều món để lựa chọn, có thêm có các món có combo phở cuốn có thêm nước nữa, thức ăn ngon cực kì luôn",đồ ăn đóng gói đẹp nhiều món để lựa chọn có thêm có các món có phở cuốn có thêm nước nữa thức ăn cực kì luôn,1
2956,10.0,Bún trộn sốt bò me ở đây ăn ngon chả phải bàn nữa nhỉ. Mình ăn ở đây chắc hơn tháng nay rồi ấy😜,bún trộn sốt bò ở đây ăn chả phải bàn nữa nhỉ mình ăn ở đây chắc hơn tháng rồi ấy,1
2957,10.0,"Được đứa bạn cùng phòng recommend nên lôi any đến ăn và ưng cực luôn. Lần nào đến cũng auto một bún trộn nam bộ. thịt bò ngon, nước trộn với mình là khá vừa phải về cả lượng nước và độ đậm đà.
Nói chung là ưng 👌🏻",được đứa bạn cùng phòng nên lôi đến ăn và ưng cực luôn lần nào đến cũng auto một bún trộn nam bộ thịt bò nước trộn với mình là khá vừa phải về cả lượng nước và độ đậm đà nói là ưng thích,1
2958,10.0,"Hôm nay mới có dịp ghé :))) so với hình trên mạng thì mình thấy ổn , ko ít cũng ko nhiều / giá được ☺️☺️ đặc biệt món trộn phải thêm ít cay cay nha 😝😝 
ăn đỉnh lắm ấy ! mọi người nên thử",hôm mới có dịp ghé với hình trên mạng thì mình thấy ổn khôngít cũng khôngnhiều giá được cười đặc biệt món trộn phải thêm ít ăn đỉnh lắm ấy mọi người nên thử,1
2959,10.0,"Phở cuốn ở đây mình đánh giá là khá đầy đặn và có chất lượng tương đối ổn. nhân thơm ngon, mềm, đậm đà.
Gia vị nước chấm khá đầy đủ.",phở cuốn ở đây mình đánh giá là khá đầy đặn và có chất lượng tương đối ổn nhân thơm mềm đậm đà vị nước chấm khá đầy đủ,1
2960,7.0,"Mình đặt ""Bún cá"", mình thấy ăn bình thường, chưa phải là dạng ngon.",mình đặt bún cá mình thấy ăn bình thường chưa phải là dạng ,0
2961,8.2,"Bún cá đỉnh núp sâu trong chợ Vĩnh Hồ

Nhiều người thích bún cá, mình cũng rất thích bún cá, thấy quán này trc kia dc khen quá trời nên hnay mk hức cũng muốn thử nhưng do đợt dãn cách k, hôm trước hay hay thế nào lại có dịp nên bay lên luôn. 
Bát bún ra nóng hổi, cắn thử miếng cá, húp thìa nước, bát bún này quá tuyệt! 
Kỹ thuật rán cá ở đây cực đỉnh, bên ngoài giòn, bên trong thịt cá xốp, mềm, mọng, mướt, ngọt vị đúng nghĩa, cảm nhận ngay được là cá rất tươi! Chưa bao giờ mình ăn bún cá nào mà có miếng cá rán ngon như vậy 😭; mà chụp choẹt xong, chấm cá vào nước dùng mới thấy, nó không nhũn mà vẫn giữ độ xốp 😲. 
Nước bún cũng rất vừa vặn đậm đà, thanh chua vừa phải, cho thêm tí ớt chưng với tỏi là mê 🤤🤤🤤, 
Đồ ăn kèm còn có chả cá (chất lượng lắm, miếng không quá dày hay quá mỏng, vị cá rất đẫm, không tanh) và tôm (mình không ăn vì sợ no quá nhưng tôm nom to và tươi ráu, nhìn cũng ngon mắt lắm). Sốt me siêu siêu đỉnh ăn cuốn lắm",bún cá đỉnh núp sâu chợ vĩnh hồ nhiều người thích bún cá mình cũng rất thích bún cá thấy quán này trước được quá trời nên hôm mình hức cũng muốn thử nhưng đợt dãn cách hôm trước thế nào lại có dịp nên lên luôn bát bún nóng hổi cắn thử miếng cá húp thìa nước bát bún này quá tuyệt kỹ thuật rán cá ở đây cực đỉnh bên ngoài giòn bên thịt cá xốp mềm mọng mướt ngọt vị đúng nghĩa cảm nhận được là cá rất tươi chưa giờ mình ăn bún cá nào mà có miếng cá rán như vậy mà chụp choẹt chấm cá vào nước dùng mới thấy nó khôngnhũn mà vẫn giữ độ xốp nước bún cũng rất vừa vặn đậm đà vừa phải cho thêm tí ớt chưng với tỏi là mê đồ ăn kèm còn có chả cá chất lượng lắm miếng khôngquá dày quá mỏng vị cá rất đẫm khôngvà tôm mình khôngăn vì sợ quá nhưng tôm và tươi ráu nhìn cũng mắt lắm sốt siêu siêu đỉnh ăn cuốn lắm,1
